x,y,longitude,latitude,locName,locDesc,zoom,id
0,0,34.916705,32.609320,,"The home of my family was built in 1881. During the Tantura Massacre of 1948, my ancestors were forced to flee their house and village. Many were taken to prison camps. I've heard that during the winter, the tide gets so high that the waves hit the side of the house. As a child, I would fantasize about sitting at home and feeling the waves by the window. However, the house remains inaccessible to me and many of its original inhabitants.",17.5,1
0,0,34.91556753984193,32.61081500426775,wave after wave,"""I used to adore the sea and its towering waves. Sometimes, I would go swimming with my sister Siham and my brother Fawzi in the sea, which is only a few steps away from our house. I held Siham with my right hand and Fawzi with my left hand, as they taught me to swim. ""One...two...three...Hop!"" yelled Fawzi as he lifted me to ride the high waves coming to shore.""- from Fayzeh Al-Yahya's autobiography "Call of the Lillies"",18.794765696068385,2
0,0,34.9168516215544,32.612203511518445,a ring awaits return,"“It was nearly my turn to be searched by the soldiers. . .I looked at my tiny hands, I was wearing a beautiful golden ring that one of my father’s friends gifted me after returning from India. . .I was scared that the soldier would take it away from me, and hence take away the happiness I felt whenever I wore it on my finger. I also thought that the soldier could forcibly grab it from my finger, the way she has with some of the other women in line. . .At this moment, I thought to take off my ring and bury it under the sand. . .I took off my ring, buried it in the sand, grabbed a small rod that I found on the sand to use as a marker for me to find my ring when this nightmare I’m living ends.” - from Fayzeh Al-Yahya's autobiography",17.386193798548696,3
0,0,34.930355481802536,32.60999854156228,Call of the Lillies,"“The soldier closed the back door to the truck. The sound struck my ear and I felt like I was suffocating. I wiped away the tears streaming down my cheeks with my feeble hands. . .and I murmured my goodbyes to everything that had been dear to me - my home, my toys, even my piggy bank - as though some deep instinct told me I'd never lay eyes on them again.” - from Fayzeh Al-Yahya's autobiography",15.027930681856663,4
0,0,46.665828260687476,24.735133976203045,z's temporary home,A place that houses years of memories for three generations is also associated with temporariness as permanent integration into this country is never possible,19.463903319380282,5
0,0,123.50409265848992,13.254239634968997,Cabilogan River,"My summers were spent in this river.
My cousins and I spent days trying to tie a rope on the thickest tree branch we could find.
The day we finally did, we swung and swam into the river until that branch broke -- dethroning us as kings of the jungle.
We would do the same every summer, but finding a tree branch close to the water grew more challenging as the river shrunk every year.",16.90560500126121,6
0,0,35.082139794435875,31.77162903444446,Palestine,Palestine. It is only partially on the map.,7.542692086535739,7
0,0,54.6251175322094,24.376367910924643,Home,"Abu Dhabi. I feel like it is underrepresented in the map as it feels small and is hard to find. The place means so much to me since it is the place that I was born and grew up in. 
Story: I remember the mixed emotions that went through my head when my parents told me that we were going to move out in 2014. I was leaving a place that meant so much more than just a home to me.",10.674684355063768,8
0,0,53.7626597056059,23.04051822894803,Aaron's camping spot,"My wife and I like to go camp here and bring people for sunrise. There is a giant dune with a steep drop which is pretty dramatic. This place is the place that created a solid connection between me and the desert, helping make Abu Dhabi my home. It will always be special.",13.27632112578995,9
0,0,-79.39864128062675,43.6553747261986,soup for lunch,"This is my favourite quiet place to have a handmade bowl of wonton soup. The owners of Swatow know me, nod hello and know what I want. I go here on cold days often alone.",16.35268847944002,10


